date,time,age_group,gender,education_level,income_bracket,academic_grade,study_hours,relevance_score,interactive_methods,teaching_realworld,motivation_level,learning_environment,sense_of_belonging,internet_reliability,access_to_resources,parent_goal_discussion,family_encouragement,financial_concern,extracurricular_impact,interest_level,challenges_teaching,challenges_school,challenges_influence,challenges_financial,challenges_mental,learning_environment_interactive,learning_environment_structured,learning_environment_group,learning_environment_digital,learning_environment_oneonone,career_clarity,mentorship_helpfulness,use_stress_service,improvement_suggestion
01/10/2025,12:42:10 PM,21-28,Female,Graduate,"100,000 – 300,000",Good,(6-10),1,1,1,1,1,1,Very Reliable,Disagree,Weekly,Agree,Significantly,Not really,4,1,1,0,1,1,1,1,1,1,0,3,Very helpful,Yes,Helping students by giving scholarship to people who can't afford to come to school and also providing school with equipments and resources needed to foster a healthy environment for learning.
01/10/2025,5:20:56 PM,13-20,Female,Undergraduate,"600,001 – 1,000,000",Good,(11-15),4,1,2,3,3,3,Unreliable,Agree,Monthly,Agree,Significantly,Average,3,0,1,0,0,0,1,1,0,1,0,3,Very helpful,Yes,Conducive environment and access to Internet 
01/10/2025,5:29:02 PM,13-20,Male,Undergraduate,0,Good,(6-10),1,4,2,3,2,3,Neutral,Strongly disagree,Rarely,Agree,Slightly,Not at all,3,0,0,0,0,1,0,1,0,0,0,5,Very helpful,Yes,Good timetable to manage stress because of the distance of venues 
01/10/2025,5:30:35 PM,21-28,Male,Graduate,"100,000 – 300,000",Good,(0-5),1,1,1,2,3,2,Neutral,Agree,Rarely,Agree,Slightly,Very much,4,1,1,0,1,1,1,1,0,0,0,2,Moderately helpful,Yes,Good laboratory equipments
01/10/2025,5:34:21 PM,21-28,Male,Graduate,"300,001 – 600,000",Good,(6-10),2,1,3,3,2,2,Neutral,Disagree,Daily,Agree,Slightly,Not really,3,0,0,1,0,0,0,0,1,0,0,1,Slightly helpful,No,Invest in practicals
01/10/2025,5:35:25 PM,21-28,Male,Undergraduate,"300,001 – 600,000",Excellent,(6-10),5,5,5,5,3,5,Neutral,Agree,Monthly,Strongly disagree,Slightly,Average,4,1,0,0,0,0,1,1,1,1,1,5,Very helpful,Yes,"The world is now digital, and I feel like my school should adopt virtual lectures. "
01/10/2025,5:52:09 PM,21-28,Male,Undergraduate,"300,001 – 600,000",Good,(6-10),4,3,4,3,2,4,Reliable,Agree,Rarely,Strongly agree,Not at all,Very much,4,1,1,0,0,0,1,1,0,0,1,5,Very helpful,Yes,Student Lecturer Relationship
01/10/2025,5:54:44 PM,21-28,Male,Undergraduate,10000,Good,(0-5),2,1,1,4,4,5,Very Unreliable,Agree,Rarely,Agree,Significantly,Not at all,3,1,1,0,1,0,1,1,0,0,0,3,Slightly helpful,Yes,Network improvements 
01/10/2025,5:55:22 PM,21-28,Male,Graduate,"300,001 – 600,000",Excellent,(0-5),5,2,3,5,5,4,Neutral,Disagree,Rarely,Agree,Significantly,Average,3,0,0,0,1,0,0,1,0,0,0,5,Very helpful,Yes,"More practical, less theory"
01/10/2025,5:55:29 PM,21-28,Male,Undergraduate,"100,000 – 300,000",Excellent,(0-5),5,2,1,3,1,2,Unreliable,Disagree,Rarely,Strongly agree,Moderately,Not really,3,1,1,0,0,0,1,1,1,0,0,5,Moderately helpful,Yes,A change in the pattern of teaching 
